Recommendation code;Recommendations ;Applicable MS or (sub)region;Applicable descriptors;URL Commission report;comments
Art13/2016/HR/Rec07;The Member State should define the spatial scope of measures in detail. Furthermore, the spatial scope of measures should be expanded to cover marine waters beyond coastal waters, if the pressures are present here. It is important that pressures are addressed across its broader territory.;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec08;The Member State should consider establishing measures that have direct effects on the pressures.;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec09;The Member State should quantify pressures and their expected reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec10;The Member State should provide more information about its measures on what they aim to achieve in terms of reduction of pressures and impacts, and more specifically its spatial protection measures (size, number and location of MPAs and the conservation objectives of the MPAs).;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec11;The Member State should ensure better linkages between its PoM and its Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec12;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;HR;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec13;The Member State should address the introduction of NIS in its marine waters from tourism and recreational activities.;HR;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec14;The Member State should cover recreational fishing (or, if this is already the case, provide more details).;HR;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec15;The Member State should establish more synergies with key pieces of legislation such as the UWWTD, the Nitrates Directive, Industrial Emissions Directive and the National Emission Ceilings Directive.;HR;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec16;The Member State should clearly address Heavily Modified Water Bodies, or, if it is already the case, explain better how the measures cover them.;HR;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec17;Member States should establish more links with existing EU policies for D9.;HR;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec18;The Member State should address marine litter from urban activities, preferably through direct measures in addition to indirect measures, and tourism/recreational activities.;HR;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec19;The Member State should consider establishing measures about removal of litter from beaches and about products responsible for beach litter coming from both sea-based and land-based sources (such as single-use plastic items).;HR;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec20;The Member State should make efforts to identify pollution hot spots (e.g. from plastic pellets, lost fishing gear, etc.).;HR;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec21;The Member State should consider establishing measures having direct effects on the pressure, especially from marine research and shipping, in addition to indirect measures.;HR;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec22;The Member State should consider establishing measures that target other energy inputs if possible and if relevant (e.g., heat, light).;HR;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec23;"The Member State should utilise more synergies with relevant existing EU legal acts, such as the EIA Directive; as well as implement measures in accordance to relevant IMO Guidelines for the reduction of underwater noise from commercial shipping to address adverse impacts on marine life.";HR;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec24;The Member State should specify in its measures which species and habitats are covered, and if necessary, establish additional measures targeting those bird species not adequately addressed.;HR;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec25;The Member State should establish additional measures to address pressures on birds, namely, disturbances on nesting sites and effects of NIS. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on birds should be explained.;HR;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec26;The Member State should provide better information on existing MPAs and the level of protection they provide for fish (commercial and non-commercial), in relation to where fish species occur within Member States' waters, and how they are protected.;HR;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec27;The Member State should specify in its measures which species and habitats are covered, and if necessary, establish additional measures targeting those mammal and reptiles species not adequately addressed.;HR;D1, 4 – Mammals and reptiles;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec28;The Member State should establish additional measures to address relevant pressures on mammals  and reptiles beyond incidental by-catch (e.g. impacts on mammals due to shipping (collision), underwater noise). If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on mammals should be explained. ;HR;D1, 4 – Mammals and reptiles;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec29;The Member State should establish measures covering seaweed and other sea-based food harvesting, activities reported in Article 8 as a source of physical damage.;HR;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec30;If seabed habitats are to be addressed via measures reported for other descriptors (e.g. D10), the expected effect that measures are to have on seabed habitats should be explained.;HR;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/HR/Rec31;The Member State should establish additional fisheries restrictions on all relevant habitats types to effectively reduce the potential widespread impact of bottom-contacting gear.;HR;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/IE/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor-specific recommendations below. ;IE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/IE/Rec02;The Member State should establish measures to better address GES and targets for water column habitats (D1, 4), seabed habitats (D1, 4, 6) and marine litter (D10) better.;IE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/IE/Rec03;The Member State should develop more research efforts to fill knowledge gaps and provide an assessment of when GES will be achieved.;IE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/IE/Rec04;The Member State should strive to determine the timelines for achieving GES and, where there are delays beyond 2020, to report exceptions provided these are adequately justified. Furthermore, if GES is not expected to be achieved by 2020, then the Member State should estimate the alternative dates by when GES will be achieved.;IE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/IE/Rec05;The Member State should ensure coherence of its determinations of GES, environmental targets and the PoM. This would allow to use environmental targets systematically as milestones towards achieving GES through the measures, and monitor this progress through the MSFD monitoring programmes. This is specially missing for birds, mammals and water column habitats (D1, 4).;IE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/IE/Rec06;The Member State should provide more information about its measures and its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs, the conservation objectives of the MPAs).;IE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/IE/Rec07;The Member State should define the spatial scope of its measures in detail. Furthermore, the spatial scope of measures should be expanded to cover marine waters beyond coastal waters, where relevant pressures are present. The Member State should consider establishing additional measures beyond spatial protection efforts to address species and habitats. It is important that pressures are addressed across all marine waters.;IE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/IE/Rec08;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;IE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/IE/Rec09;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the measures being implemented. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures to the targets and hence to the achievement of GES.;IE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/IE/Rec10;The Member State should clearly identify the timelines for implementation, secured funding, and the entities in charge of implementation for all their measures. ;IE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/IE/Rec11;The Member State should address the extraction of seaweed and other species for sea-based food harvesting.;IE;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
